source_url,title,category,action,importance,ai_priority,homepage_candidate,research_candidate,service_candidate,document_candidate,reason,confidence,notes
https://rae.mju.ac.th/unknown,สำนักวิจัยและส่งเสริมวิชาการการเกษตร มหาวิทยาลัยแม่โจ้ TH หน้าแรก ภาษาไทย ผู้ดูแลระบบ สำนักวิจัยและส,landing,KEEP,3,medium,false,false,false,false,Supporting content,0.75,""
https://rae.mju.ac.th/unknown,--> สำนักวิจัยและส่งเสริมวิชาการการเกษตร มหาวิทยาลัยแม่โจ้ The Office of Agricultural Research and E,research,KEEP,5,critical,false,true,false,false,Primary research content,0.95,""
https://rae.mju.ac.th/unknown,--> สำนักวิจัยและส่งเสริมวิชาการการเกษตร มหาวิทยาลัยแม่โจ้ The Office of Agricultural Research and E,research,KEEP,5,critical,false,true,false,false,Primary research content,0.95,""
https://rae.mju.ac.th/unknown,--> สำนักวิจัยและส่งเสริมวิชาการการเกษตร มหาวิทยาลัยแม่โจ้ The Office of Agricultural Research and E,research,KEEP,5,critical,false,true,false,false,Primary research content,0.95,""
https://rae.mju.ac.th/unknown,--> สำนักวิจัยและส่งเสริมวิชาการการเกษตร มหาวิทยาลัยแม่โจ้ The Office of Agricultural Research and E,research,KEEP,5,critical,false,true,false,false,Primary research content,0.95,""
